col1 col2 weight
YAL005C YIL142W 84
YAL005C YIL144W 309
YAL005C YJL008C 84
YAL005C YJL014W 84
YAL005C YJL034W 138
YAL005C YJL041W 138
YAL005C YJL058C 296
YAL005C YJL061W 536
YAL005C YJL102W 143
YAL005C YJL111W 84
YAL005C YJL130C 296
YAL005C YJL162C 56
YAL005C YJL197W 143
YAL005C YJR032W 581
YAL005C YJR045C 84
YAL005C YJR064W 56
YAL005C YKL032C 207
YAL005C YKL129C 143
YAL005C YKL145W 585
YAL005C YKL173W 56
YAL005C YKR048C 334
YAL005C YLL006W 180
YAL005C YLL024C 585
YAL005C YLL026W 445
YAL005C YLL036C 287
YAL005C YLL039C 189
YAL005C YLR090W 143
YAL005C YLR212C 498
YAL005C YLR216C 296
YAL005C YLR256W 560
YAL005C YLR259C 56
YAL005C YLR310C 536
YAL005C YLR335W 187
YAL005C YLR347C 305
YAL005C YLR357W 199
YAL005C YLR369W 56
YAL005C YLR377C 358
YAL005C YML013W 138
YAL005C YML078W 56
YAL005C YML103C 445
YAL005C YMR078C 560
YAL005C YMR091C 199
YAL005C YMR167W 445
YAL005C YMR186W 560
YAL005C YMR213W 57
YAL005C YMR214W 56
YAL005C YMR229C 296
YAL005C YNL007C 498
YAL005C YNL025C 536
YAL005C YNL026W 120
YAL005C YNL064C 581
YAL005C YNL077W 287
YAL005C YNL090W 101
YAL005C YNL121C 585
YAL005C YNL135C 56
YAL005C YNL157W 293
YAL005C YNL189W 536
YAL005C YNL209W 585
YAL005C YNL227C 329
YAL005C YNL229C 585
YAL005C YNL271C 199
YAL005C YNR034W-A 585
YAL005C YOL032W 56
YAL005C YOL072W 297
YAL005C YOL149W 445
YAL005C YOR007C 581
YAL005C YOR027W 581
YAL005C YOR098C 319
YAL005C YOR140W 56
YAL005C YOR142W 104
YAL005C YOR151C 598
YAL005C YOR160W 560
YAL005C YOR164C 343
YAL005C YOR231W 143
YAL005C YOR274W 143
YAL005C YPL037C 297
YAL005C YPL106C 585
YAL005C YPL167C 296
YAL005C YPL233W 293
YAL005C YPL240C 585
YAL005C YPL254W 283
YAL005C YPR010C 602
YAL005C YPR178W 358
YAL007C YAR002C-A 808
YAL007C YBL003C 210
YAL007C YDR086C 608
YAL007C YDR087C 610
YAL007C YDR101C 565
YAL007C YDR127W 608
YAL007C YDR174W 288
YAL007C YDR293C 517
YAL007C YER110C 565
YAL007C YGL002W 296
YAL007C YGL008C 289
YAL007C YGL055W 289
YAL007C YGL200C 759
YAL007C YGR231C 608
YAL007C YHR110W 296
YAL007C YJL034W 585
YAL007C YLR075W 288
YAL007C YLR150W 218
YAL007C YLR342W 565
YAL007C YML012W 702
YAL007C YMR214W 296
YAL007C YMR290C 565
YAL007C YNL030W 194
YAL007C YNL055C 288
YAL007C YNL181W 565
YAL007C YPL211W 607
YAL008W YJL033W 288
YAL009W YDL040C 609
YAL009W YDR211W 608
YAL009W YHR004C 637
YAL009W YJL176C 599
YAL009W YLR342W 609
YAL009W YLR448W 270
YAL009W YML024W 198
YAL010C YAL048C 585
YAL010C YDR049W 85
YAL010C YDR190C 201
YAL010C YGL219C 286
YAL010C YHR083W 585
YAL010C YHR117W 138
YAL010C YJL066C 581
YAL010C YLL006W 585
YAL010C YMR060C 358
YAL010C YMR203W 581
YAL010C YNL026W 560
YAL010C YNL070W 560
YAL010C YNL121C 143
YAL010C YNL131W 300
YAL010C YOL009C 498
YAL010C YPL235W 606
YAL011W YBR231C 646
YAL011W YDR190C 662
YAL011W YDR224C 651
YAL011W YDR225W 206
YAL011W YDR334W 662
YAL011W YDR485C 662
YAL011W YER092W 111
YAL011W YER111C 199
YAL011W YFL039C 277
YAL011W YGL150C 59
YAL011W YGR002C 206
YAL011W YGR086C 218
YAL011W YJL081C 582
YAL011W YLR052W 111
YAL011W YLR085C 623
YAL011W YLR385C 648
YAL011W YLR399C 348
YAL011W YML041C 647
YAL011W YNL107W 585
YAL011W YOL012C 560
YAL011W YOR141C 65
YAL011W YOR189W 139
YAL011W YPL129W 83
YAL011W YPL235W 546
YAL012W YDL229W 168
YAL012W YGR155W 358
YAL012W YJL101C 80
YAL012W YKL210W 651
YAL012W YMR101C 196
YAL012W YMR300C 808
YAL012W YOL013C 289
YAL013W YBR095C 662
YAL013W YBR103W 117
YAL013W YCR033W 133
YAL013W YDL076C 295
YAL013W YDR207C 295
YAL013W YDR295C 111
YAL013W YGL061C 300
YAL013W YGL194C 138
YAL013W YIL084C 733
YAL013W YIL112W 74
YAL013W YKL185W 660
YAL013W YKR029C 133
YAL013W YMR263W 726
YAL013W YNL097C 295
YAL013W YNL330C 606
YAL013W YOL004W 638
YAL013W YPL139C 737
YAL013W YPL181W 662
YAL013W YPR023C 138
YAL013W YPR179C 111
YAL014C YAL030W 297
YAL014C YDR264C 626
YAL014C YDR468C 81
YAL014C YER133W 334
YAL014C YKL196C 297
YAL014C YLR093C 297
YAL014C YMR197C 718
YAL014C YOR036W 297
YAL014C YOR106W 297
YAL015C YOL043C 536
YAL016W YAL024C 759
YAL016W YDL047W 536
YAL016W YDL134C 808
YAL016W YDL134C 808
YAL016W YDL134C 808
YAL016W YDL188C 698
YAL016W YDL188C 698
YAL016W YDL188C 698
YAL016W YFL039C 130
YAL016W YGL190C 808
YAL016W YGL190C 808
YAL016W YGL190C 808
YAL016W YGR161C 599
YAL016W YGR281W 599
YAL016W YHR075C 296
YAL016W YHR135C 106
YAL016W YHR158C 759
YAL016W YIL153W 296
YAL016W YML063W 139
YAL016W YML109W 702
YAL016W YMR028W 297
YAL016W YMR273C 696
YAL016W YNL127W 560
YAL016W YNR032W 599
YAL016W YOL068C 288
YAL016W YOR014W 702
YAL016W YOR073W 536
YAL016W YOR162C 660
YAL016W YPL090C 143
YAL016W YPL152W 651
YAL016W YPL256C 808
YAL016W YPR080W 56
YAL017W YAR019C 99
YAL017W YCR020W-B 288
YAL017W YDL100C 582
YAL017W YDR099W 585
YAL017W YDR454C 79
YAL017W YER027C 536
YAL017W YER177W 143
YAL017W YGL112C 609
YAL017W YGR252W 640
YAL017W YHL007C 102
YAL017W YJL047C 111
YAL017W YKL035W 599
YAL017W YLR150W 288
YAL017W YMR125W 289
YAL017W YNL247W 289
YAL017W YOR196C 289
YAL017W YPL240C 56
