,gene,int
277,YOL097W-A,278
278,YDR477W,279
279,YNL217W,280
280,YER058W,281
281,YKL137W,282
282,YPR189W,283
283,YDL211C,284
284,YBL041W,285
285,YLR111W,286
286,YPR071W,287
287,YER007W,288
288,YBL023C,289
289,YDR386W,290
290,YOR386W,291
291,YML097C,292
292,YPR135W,293
293,YCR095W-A,294
294,YNL136W,295
295,YNL212W,296
296,YJR048W,297
297,YOR067C,298
298,YNL097C-B,299
299,YNL278W,300
300,YCL005W-A,301
301,YDL058W,302
302,YHR127W,303
303,YDR261C,304
304,YGR189C,305
305,YEL005C,306
306,YPR057W,307
307,YDL150W,308
308,YGR196C,309
309,YGL151W,310
310,YPL068C,311
311,YBR255W,312
312,YAR007C,313
313,YKR105C,314
314,YEL016C,315
315,YPL101W,316
316,YDR496C,317
317,YKR054C,318
318,YDR347W,319
319,YMR294W,320
320,YPL038W,321
321,YPL244C,322
322,YLR235C,323
323,YDL232W,324
324,YBR163W,325
325,YBR134W,326
326,YGR222W,327
327,YGR117C,328
328,YGL058W,329
329,YBL105C,330
330,YEL051W,331
331,YLR262C,332
332,YLR312C-B,333
333,YFR030W,334
334,YHR107C,335
335,YIL150C,336
336,YJL023C,337
337,YMR097C,338
338,YLL049W,339
339,YNL311C,340
340,YNR045W,341
341,YOL004W,342
342,YCR085W,343
343,YOR358W,344
344,YIR010W,345
345,YJL154C,346
346,YNL305C,347
347,YLR021W,348
348,YPL194W,349
349,YKL195W,350
350,YDL049C,351
351,YJL003W,352
352,YOL019W,353
353,YIL153W,354
354,YFL054C,355
355,YER141W,356
356,YGR077C,357
357,YER087W,358
358,YKL068W-A,359
359,YPL078C,360
360,YML129C,361
361,YGL153W,362
362,YMR150C,363
363,YIL128W,364
364,YOR149C,365
365,YIL143C,366
366,YPR141C,367
367,YLR412C-A,368
368,YAL039C,369
369,YMR236W,370
370,YPL173W,371
371,YOR097C,372
372,YLL006W,373
373,YPL011C,374
374,YGR241C,375
375,YGR122W,376
376,YPL062W,377
377,YOR181W,378
378,YNL177C,379
379,YNL252C,380
380,YNL037C,381
381,YLR174W,382
382,YDR295C,383
383,YMR100W,384
384,YPR046W,385
385,YLR396C,386
386,YCL060C,387
387,YMR198W,388
388,YER092W,389
389,YLR154C-H,390
390,YFL039C,391
391,YML058W-A,392
392,YOR336W,393
393,YDR036C,394
394,YDR162C,395
395,YAL058W,396
396,YER076C,397
397,YHL030W,398
398,YML022W,399
399,YAL005C,400
400,YOL164W,401
401,YJR140C,402
402,YEL024W,403
403,YPL227C,404
404,YPL144W,405
405,YKR007W,406
406,YKL017C,407
407,YJR022W,408
408,YGL134W,409
409,YPL120W,410
410,YBL063W,411
411,YCR020W-B,412
412,YOL038C-A,413
413,YDL002C,414
414,YBR179C,415
415,YGR278W,416
416,YPL153C,417
417,YLR253W,418
418,YER013W,419
419,YMR224C,420
420,YDR012W,421
421,YPL102C,422
422,YPL024W,423
423,YNL304W,424
424,YLR272C,425
425,YBL079W,426
426,YEL050C,427
427,YMR240C,428
428,YHR079C,429
429,YLR274W,430
430,YKL040C,431
431,YOR332W,432
432,YDL185W,433
433,YEL069C,434
434,YNL333W,435
435,YDR150W,436
436,YCR083W,437
437,YNL293W,438
438,YER180C-A,439
439,YJL013C,440
440,YKL101W,441
441,YGL217C,442
442,YKR086W,443
443,YML077W,444
444,YIL095W,445
445,YDL025C,446
446,YPR202W,447
447,YPR197C,448
448,YHL038C,449
449,YIL021W,450
450,YBR173C,451
451,YER008C,452
452,YJL014W,453
453,YLR075W,454
454,YHR074W,455
455,YPL241C,456
456,YML096W,457
457,YLR307C-A,458
458,YHR072W-A,459
459,YDR113C,460
460,YHR031C,461
461,YHR129C,462
462,YDL200C,463
463,YPR182W,464
464,YBL061C,465
465,YCR093W,466
466,YPL234C,467
467,YJL223C,468
468,YOR393W,469
469,YOR280C,470
470,YER157W,471
471,YER007C-A,472
472,YAL033W,473
473,YIL130W,474
474,YNL148C,475
475,YGR120C,476
476,YLR166C,477
477,YCR086W,478
478,YER065C,479
479,YHR118C,480
480,YMR129W,481
481,YAL037C-A,482
482,YBR229C,483
483,YHR101C,484
484,YER094C,485
485,YIL176C,486
486,YOL067C,487
487,YJL062W,488
488,YDR025W,489
489,YOL078W,490
490,YIL115C,491
491,YPR036W-A,492
492,YGR067C,493
493,YKL188C,494
494,YBL040C,495
495,YNR075C-A,496
496,YGR197C,497
497,YNR073C,498
498,YMR282C,499
499,YDL087C,500
500,YMR075C-A,501
501,YPL151C,502
502,YMR026C,503
503,YLR051C,504
504,YMR194C-B,505
505,YJL107C,506
506,YLR268W,507
507,YDR240C,508
508,YOL149W,509
509,YDL077C,510
510,YJR102C,511
511,YIR012W,512
512,YDR402C,513
513,YDR450W,514
514,YIL121W,515
515,YNL259C,516
516,YJR013W,517
517,YMR274C,518
518,YCR015C,519
519,YNL147W,520
520,YJL136C,521
521,YAL032C,522
522,YLR154W-A,523
523,YPL152W-A,524
524,YNL200C,525
525,YGL048C,526
526,YOR068C,527
527,YNL034W,528
528,YBR182C-A,529
529,YDL165W,530
530,YNL067W,531
531,YMR077C,532
532,YDR323C,533
533,YJL178C,534
534,YLR383W,535
535,YGL077C,536
536,YFL013C,537
537,YJL168C,538
538,YBR103W,539
539,YIL003W,540
540,YGL168W,541
541,YDR510W,542
542,YBR023C,543
543,YJL121C,544
544,YDR038C,545
545,YOR368W,546
546,YMR102C,547
547,YHR058C,548
548,YNR056C,549
549,YBR064W,550
550,YBL102W,551
551,YJL099W,552
552,YLR222C,553
553,YPL139C,554
554,YDL057W,555
555,YPL065W,556
556,YGL152C,557
557,YML124C,558
558,YLR018C,559
559,YIL140W,560
560,YBR089C-A,561
561,YHR213W-B,562
562,YOR030W,563
563,YBL010C,564
564,YEL066W,565
565,YGL144C,566
566,YNL050C,567
567,YLR037C,568
568,YMR197C,569
569,YPL063W,570
570,YGL039W,571
571,YPR094W,572
572,YDR131C,573
573,YKR016W,574
574,YOR334W,575
575,YJR042W,576
576,YGL107C,577
577,YCR105W,578
578,YGR198W,579
579,YMR301C,580
580,YMR257C,581
581,YML086C,582
582,YML103C,583
583,YMR028W,584
584,YPR026W,585
585,YDR245W,586
586,YOR117W,587
587,YAL027W,588
588,YLR052W,589
589,YCR098C,590
590,YMR238W,591
591,YLR381W,592
592,YFL056C,593
593,YLR271W,594
594,YEL070W,595
595,YJL053W,596
596,YGL022W,597
597,YOR026W,598
598,YDL245C,599
599,YBR156C,600
600,YEL071W,601
601,YOR182C,602
602,YBR278W,603
603,YNL196C,604
604,YER028C,605
605,YDR290W,606
606,YPL222W,607
607,YHR108W,608
608,YGL142C,609
609,YOR251C,610
610,YMR310C,611
611,YAL055W,612
612,YDR212W,613
613,YGR005C,614
614,YBR056W-A,615
615,YBL111C,616
616,YDR302W,617
617,YLR295C,618
618,YPL070W,619
619,YDR108W,620
620,YDR401W,621
621,YMR089C,622
622,YJL128C,623
623,YCL064C,624
624,YOR072W-B,625
625,YPL169C,626
626,YOL121C,627
627,YMR321C,628
628,YNR012W,629
629,YER052C,630
630,YLR016C,631
631,YJL092W,632
632,YGL208W,633
633,YOR136W,634
634,YDR086C,635
635,YDR299W,636
636,YER122C,637
637,YBR172C,638
638,YKL007W,639
639,YGR076C,640
640,YML038C,641
641,YLR117C,642
642,YDR530C,643
643,YPL086C,644
644,YDR003W-A,645
645,YLR078C,646
646,YPL089C,647
647,YBL059C-A,648
648,YGL148W,649
649,YGL120C,650
650,YFL038C,651
651,YNL101W,652
652,YGR013W,653
653,YBR072C-A,654
654,YLR191W,655
655,YGL174W,656
656,YKR085C,657
657,YBR094W,658
658,YER103W,659
659,YDR508C,660
660,YBR017C,661
661,YGL127C,662
662,YKR065C,663
663,YOR123C,664
664,YPL253C,665
665,YNL218W,666
666,YER037W,667
667,YDR462W,668
668,YGR103W,669
669,YNL234W,670
670,YNR034W-A,671
671,YOL086W-A,672
672,YPR200C,673
673,YNL237W,674
674,YJL077W-B,675
675,YJR138W,676
676,YDR129C,677
677,YNL075W,678
678,YHR106W,679
679,YNL253W,680
680,YBL086C,681
681,YNL273W,682
